Country,Score,Region,Continent,GDP per capita,Freedom to make life choices,Healthy life expectancy,2019 Score,Tax Burden,Business Freedom,Financial Freedom,Unemployment (%),HDI,IHDI,Loss%,latitude,longitude
Finland,7.769,Europe,Europe,1.34,0.596,0.986,74.9,66.8,89.4,80.0,8.6,0.938,0.888,5.3,61.92411,25.748151
Denmark,7.6,Europe,Europe,1.383,0.592,0.996,76.7,42.0,90.7,80.0,5.7,0.94,0.883,6.1,56.26392,9.501785
Norway,7.554,Europe,Europe,1.488,0.603,1.028,73.0,57.4,89.4,60.0,4.2,0.957,0.899,6.1,60.472024,8.468946
Iceland,7.494,Europe,Europe,1.38,0.591,1.026,77.1,72.7,88.4,70.0,2.8,0.949,0.894,5.8,64.963051,-19.020835
Netherlands,7.488,Europe,Europe,1.396,0.557,0.999,76.8,51.6,81.4,80.0,4.8,0.944,0.878,7.0,52.132633,5.291266
Switzerland,7.48,Europe,Europe,1.452,0.572,1.052,81.9,70.5,75.4,90.0,4.8,0.955,0.889,6.9,46.818188,8.227512
Sweden,7.343,Europe,Europe,1.387,0.574,1.009,75.2,43.2,88.0,80.0,6.7,0.945,0.882,6.7,60.128161,18.643501
New Zealand,7.307,Asia-Pacific,Asia & Oceania,1.303,0.585,1.026,84.4,71.0,91.0,80.0,4.9,0.931,0.859,7.7,-40.900557,174.885971
Canada,7.278,Americas,North America,1.365,0.584,1.039,77.7,76.8,81.9,80.0,6.3,0.929,0.848,8.7,56.130366,-106.346771
Austria,7.246,Europe,Europe,1.376,0.532,1.016,72.0,50.5,74.9,70.0,5.5,0.922,0.857,7.0,47.516231,14.550072
Australia,7.228,Asia-Pacific,Asia & Oceania,1.372,0.557,1.036,80.9,62.8,88.3,90.0,5.6,0.944,0.867,8.2,-25.274398,133.775136
Costa Rica,7.167,Americas,North America,1.034,0.558,0.963,65.3,79.2,67.2,50.0,8.1,0.81,0.661,18.4,9.748917,-83.753428
Israel,7.139,Middle East and North Africa,Asia & Oceania,1.276,0.371,1.029,72.8,61.9,71.4,70.0,4.3,0.919,0.814,11.4,31.046051,34.851612
Luxembourg,7.09,Europe,Europe,1.609,0.526,1.012,75.9,65.4,68.8,80.0,5.5,0.916,0.826,9.8,49.815273,6.129583
United Kingdom,7.054,Europe,Europe,1.333,0.45,0.996,78.9,64.7,92.9,80.0,4.3,0.932,0.856,8.2,55.378051,-3.435973
Ireland,7.021,Europe,Europe,1.499,0.516,0.999,80.5,76.3,83.1,70.0,6.4,0.955,0.885,7.3,53.41291,-8.24389
Germany,6.985,Europe,Europe,1.373,0.495,0.987,73.5,60.8,83.3,70.0,3.8,0.947,0.869,8.2,51.165691,10.451526
Belgium,6.923,Europe,Europe,1.356,0.473,0.986,67.3,47.1,78.1,70.0,7.4,0.931,0.859,7.7,50.503887,4.469936
United States,6.892,Americas,North America,1.433,0.454,0.874,76.8,75.1,83.8,80.0,4.4,0.926,0.808,12.7,37.09024,-95.712891
Czech Republic,6.852,Europe,Europe,1.269,0.457,0.92,73.7,82.6,72.4,80.0,2.9,0.9,0.86,4.4,49.817492,15.472962
Malta,6.726,Europe,Europe,1.3,0.564,0.999,68.6,64.2,67.1,60.0,4.0,0.895,0.823,8.0,35.937496,14.375416
Mexico,6.595,Americas,North America,1.07,0.433,0.861,64.7,75.8,67.8,60.0,3.4,0.779,0.613,21.3,23.634501,-102.552784
France,6.592,Europe,Europe,1.324,0.436,1.045,63.8,48.4,81.2,70.0,9.4,0.901,0.82,9.0,46.227638,2.213749
Chile,6.444,Americas,South America,1.159,0.357,0.92,75.4,77.3,76.6,70.0,7.0,0.851,0.709,16.7,-35.675147,-71.542969
Guatemala,6.436,Americas,North America,0.8,0.535,0.746,62.6,79.2,53.6,50.0,2.7,0.663,0.481,27.5,15.783471,-90.230759
Spain,6.354,Europe,Europe,1.286,0.362,1.062,65.7,62.3,66.8,70.0,17.2,0.904,0.783,13.4,40.463667,-3.74922
Panama,6.321,Americas,North America,1.149,0.516,0.91,67.2,85.0,73.6,70.0,4.5,0.815,0.643,21.1,8.537981,-80.782127
Brazil,6.3,Americas,South America,1.004,0.39,0.802,51.9,70.5,57.9,50.0,13.3,0.765,0.57,25.5,-14.235004,-51.92528
Uruguay,6.293,Americas,South America,1.124,0.523,0.891,68.6,77.2,74.3,30.0,7.9,0.817,0.712,12.7,-32.522779,-55.765835
Singapore,6.262,Asia-Pacific,Asia & Oceania,1.572,0.556,1.141,89.4,90.4,90.8,80.0,2.0,0.938,0.813,13.3,1.352083,103.819836
El Salvador,6.253,Americas,North America,0.794,0.43,0.789,61.8,78.1,57.2,60.0,4.5,0.673,0.529,21.4,13.794185,-88.89653
Italy,6.223,Europe,Europe,1.294,0.231,1.039,62.2,55.6,71.7,50.0,11.2,0.892,0.783,12.2,41.87194,12.56738
Slovakia,6.198,Europe,Europe,1.246,0.334,0.881,65.0,78.6,61.3,70.0,8.1,0.86,0.807,6.2,48.669026,19.699024
Poland,6.182,Europe,Europe,1.206,0.483,0.884,67.8,74.9,65.4,70.0,4.9,0.88,0.813,7.6,51.919438,19.145136
Lithuania,6.149,Europe,Europe,1.238,0.291,0.818,74.2,86.4,75.2,70.0,7.1,0.882,0.791,10.3,55.169438,23.881275
Colombia,6.125,Americas,South America,0.985,0.47,0.841,67.3,74.3,71.4,70.0,8.9,0.767,0.595,23.1,4.570868,-74.297333
Slovenia,6.118,Europe,Europe,1.258,0.564,0.953,65.5,58.4,79.3,50.0,6.6,0.917,0.875,4.6,46.151241,14.995463
Nicaragua,6.105,Americas,North America,0.694,0.435,0.835,57.7,76.9,56.0,50.0,4.4,0.66,0.505,23.5,12.865416,-85.207229
Argentina,6.086,Americas,South America,1.092,0.471,0.881,52.2,69.3,56.4,60.0,8.7,0.845,0.729,13.7,-38.416097,-63.616672
Romania,6.07,Europe,Europe,1.162,0.462,0.825,68.6,89.7,63.1,50.0,4.9,0.828,0.73,11.8,45.943161,24.96676
Cyprus,6.046,Europe,Europe,1.263,0.406,1.042,68.1,74.9,76.9,60.0,11.0,0.887,0.805,9.2,35.126413,33.429859
Ecuador,6.028,Americas,South America,0.912,0.498,0.868,46.9,77.0,54.1,40.0,3.8,0.759,0.616,18.8,-1.831239,-78.183406
Thailand,6.008,Asia-Pacific,Asia & Oceania,1.05,0.557,0.828,68.3,81.3,82.5,60.0,1.1,0.777,0.646,16.9,15.870032,100.992541
Latvia,5.94,Europe,Europe,1.187,0.264,0.812,70.4,77.0,77.5,60.0,8.7,0.866,0.783,9.6,56.879635,24.603189
South Korea,5.895,Asia-Pacific,Asia & Oceania,1.301,0.159,1.036,72.3,64.2,91.3,70.0,3.7,0.916,0.815,11.0,35.907757,127.766922
Estonia,5.893,Europe,Europe,1.237,0.495,0.874,76.6,79.9,75.3,70.0,5.8,0.882,0.829,7.1,58.595272,25.013607
Jamaica,5.89,Americas,North America,0.831,0.49,0.831,68.6,80.2,78.0,50.0,12.5,0.734,0.612,16.6,18.109581,-77.297508
Mauritius,5.888,Sub-Saharan Africa,Africa,1.12,0.498,0.798,73.0,92.1,79.8,70.0,7.1,0.804,0.694,13.7,-20.348404,57.552152
